s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
128m	4692.16	3308.56	2996.42	2614.49	2237	2084.54	1865.23	1691.54	1530.87	1400.21	1279.79	1177.27	1090.05	1008.67	944.671	886.721	883.772	882.251	880.889	883.553	
64m	4645.16	3318.59	2976.97	2589.53	2258.58	2118.65	1920.97	1744.37	1579.21	1437.29	1315.39	1207.07	1119.96	1038.77	973.187	916.003	917.849	921.831	925.218	933.605	
32m	4659.13	3347.79	2983.22	2623.93	2369.61	2239.96	2104.91	1927.87	1754.83	1593.59	1471.82	1362.65	1259.28	1177.61	1097.84	1031.79	1053.04	1067.81	1083.29	1099.36	
16m	4944.3	3578.93	3110.98	2791.41	2581.88	2458.35	2386.97	2286.25	2172.71	2052.26	1925.78	1797.21	1696.68	1598.52	1506.25	1421.81	1479.43	1582.21	1714.05	1827.28	
8m	9700.07	8550.68	7689.84	7311.06	6684.02	6503.83	6075.74	5739.76	5272.54	4974.12	4646.77	4375.58	4116.26	3910.9	3712.17	3514.09	3695.33	3817.56	3946.21	3981.58	
4m	12604.5	11861	11128.9	10733.6	10379.5	9951.62	9303.31	8427.33	7640.01	6878.1	6267.45	5808.17	5295.81	4978.07	4688.72	4408.82	4409.32	4407.67	4425.15	4381.7	
2m	12887.4	11990.6	11258.6	10778.1	10546.5	10086.1	9505.2	8308.52	7674.83	6892.88	6330.31	5819.68	5389.86	5028.46	4698.3	4399.81	4471.25	4370.99	4416.99	4436.54	
1024k	12932	11948.3	11217.1	11087	10533.5	10241.4	9243.22	8677.56	7582.5	7017.26	6280.67	5906.52	5314.71	5037.82	4667.42	4473.72	4416.59	4433.72	4414.61	4365.77	
512k	12899.2	12051	11203.5	11233.7	10319.3	10296.9	9809.47	8200.05	8103.26	7338.66	6750.59	6205.28	5437.2	5354.06	5024.47	4607.72	4704.98	4741.55	5016.36	5162.43	
256k	13057.6	12845.5	12540.4	11403.5	10455.5	11726.1	11245.4	10823.8	10312.3	9809.6	9294.14	8821.28	8296.25	7965.33	7591.41	7266.64	7556.91	6871.04	6804.16	8376.1	
128k	13549.1	13120.3	12898.7	12905.7	12736.8	12635	12233.5	10359.5	10574.2	12263.1	11860.9	11955.6	11753.7	11593.7	11392.3	11287	11631.1	12226.2	12442.8	12566.3	
64k	13591.5	13181.5	13189	13147.4	13005.4	12964.4	12865.3	12863.4	12825.1	12835.1	12863.4	12869	12838.2	12963.7	12921.7	13035.7	13009.6	12965.3	12950	12925.3	
32k	13560.7	13347.9	13470.3	13418.9	11659.5	10651	13295.8	13254.5	13893.8	13755	13827.3	13778.9	13705.5	13634.7	12906.4	12886.5	13081	13032	12963.9	12983.9	
16k	13541.6	13480.4	13398.8	13354.1	13297.4	13209.3	13129.6	13135.1	13052.1	13821.9	13959.2	12844.7	12761	12767.3	12672.3	12671.9	12591.5	12539.6	12409.9	12485.2	
